employee_id,department,performance_rating,years_experience,tenure_years,education_level,remote_days_per_week,office_zip,regional_unemployment,cost_of_living_idx,base_salary,bonus_pay,hourly_contractor_rate,hire_date
100000,engineering,Medium,7,7,Bachelors,4,62276,4.09,93.1,72070.02,4065.24,USD 68.47,2016-03-17
100001,Sales,Medium,11,1,Masters,4,72044,3.95,94.7,68161.33,5099.66,USD 49.04,2017-04-05
100002,Sales,Medium,17,8,Bachelors,2,50544,2.3,99.8,95119.46,5618.26,USD 73.67,2021-11-24
100003,Engineering,Medium,8,8,PhD,0,44520,4.46,119.8,76249.59,2880.94,,2014-03-05
100004,Engineering,Medium,10,5,Bachelors,5,93647,4.57,88.1,72987.84,5047.55,35.03,2012-11-19
100005, eng ,High,11,4,Masters,4,24371,4.66,82.1,87911.03,8097.24,USD 44.04,2013-04-08
100006, finance,Medium,0,0,PhD,0,45929,4.08,126.1,88115.23,4075.77,USD 29.19,2021-10-25
100007,Engineering,Medium,4,2,Bachelors,1,65486,6.05,95.8,74158.64,4741.02,,2013-11-16
100008, Sales,Medium,11,2,PhD,4,74397,3.92,136.1,76398.93,1645.13,$55.14,2019-10-09
100009,Engineering,Medium,6,4,Bachelors,3,47247,4.37,144.9,93277.14,5827.86,,2018-09-25
100010, Sales,Medium,9,0,Masters,4,99607,5.27,128.6,83390.99,3651.82,$70.31,2017-04-12
100011,Engineering,Medium,9,4,Masters,3,17567,4.35,143.1,98233.65,3762.58,usd 58.07,2015-05-18
100012,Engineering,Medium,1,1,Bachelors,1,95599,4.47,134.7,75740.72,1616.67,USD 77.98,2014-03-16
100013,Engineering ,Medium,3,3,Bachelors,3,49832,5.97,137.1,63400.87,3864.12,USD 48.01,2014-09-17
100014,Engineering ,High,4,1,Bachelors,3,64194,3.94,103.6,68317.79,6153.7,usd 49.64,2015-07-24
100015,Engineering,Medium,7,4,Masters,2,83398,4.02,149.5,90777.69,4821.25,$33.13,2021-01-10
100016,Sales,Low,9,4,Masters,4,33428,4.92,118.4,60700.92,674.72,40.84,2015-01-25
100017,Engineering,High,11,7,Bachelors,1,19553,4.45,140.1,90162.98,7172.44,USD 34.56,2018-05-17
100018,Engineering,,0,0,Bachelors,5,18979,4.93,109.4,64370.02,,47.15,2025-02-01
100019,Engineering,Medium,13,5,PhD,2,55400,4.18,75.9,85383.82,4537.24,USD 37.17,2016-08-17
100020,Finance,High,12,8,Masters,3,63698,4.17,130.4,90860.24,9848.11,$38.90,2017-01-12
100021,Engineering,High,4,3,Bachelors,3,61429,3.79,81.6,69188.1,3649.7,,2020-06-27
100022,Finance,High,10,0,Bachelors,1,59368,4.72,69.9,60579.35,4942.22,usd 53.11,2012-02-24
100023,Engineering ,Medium,5,4,Bachelors,4,31867,4.94,99.0,,3126.57,usd 41.56,2023-06-14
100024,Sales,,7,5,Bachelors,0,79205,4.4,125.8,,,usd 53.72,2019-11-08
100025,Engineering,Medium,7,4,PhD,4,68630,3.63,90.7,78439.49,4490.6,,2012-01-14
100026,Finance,Low,4,0,Bachelors,5,28904,3.45,102.8,59612.6,1894.63,29.91,2018-03-03
100027,Sales,Medium,2,2,Masters,1,90111,4.66,67.7,47436.06,3561.71,USD 53.26,2018-11-03
100028,SALES,High,3,3,PhD,3,23440,3.66,80.4,65093.0,5843.51,$50.12,2015-12-08
